Entry	Entry name	Status	Protein names	Gene names	Organism	Length	EC number
Q9KWN1	SDH_RHIRD	reviewed	Serine 3-dehydrogenase (EC 1.1.1.276)	sdh	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	249	1.1.1.276
P0CI31	HCAB_ECOLI	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB phdD yfhX b2541 JW2525	Escherichia coli (strain K12)	270	1.3.1.87
Q1R183	ISFD_CHRSD	reviewed	Sulfoacetaldehyde reductase (EC 1.1.1.313) (Isethionate formation reductase)	isfD Csal_0161	Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 / NCIMB 13768)	253	1.1.1.313
P47227	BPHB_PARXL	reviewed	,Cis-2,,3-dihydrobiphenyl-2,,3-diol dehydrogenase (EC 1.3.1.56) (2,,3-dihydro-2,,3-dihydroxybiphenyl dehydrogenase) (2,,3-dihydroxy-4-phenylhexa-4,,6-diene dehydrogenase) (Biphenyl-2,,3-dihydro-2,,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase),	bphB Bxeno_C1126 Bxe_C1192	Paraburkholderia xenovorans (strain LB400)	277	1.3.1.56
P74167	MGDE_SYNY3	reviewed	Monoglucosyldiacylglycerol epimerase (GlcDG epimerase) (EC 5.1.3.34)	MgdE sll1376	Synechocystis sp. (strain PCC 6803 / Kazusa)	410	5.1.3.34
P05707	SRLD_ECOLI	reviewed	Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140) (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase)	srlD gutD b2705 JW2674	Escherichia coli (strain K12)	259	1.1.1.140
P07772	BEND_ACIAD	reviewed	,1,,6-dihydroxycyclohexa-2,,4-diene-1-carboxylate dehydrogenase (EC 1.3.1.25) (2-hydro-1,,2-dihydroxybenzoate dehydrogenase) (DHB dehydrogenase) (Cis-1,,2-dihydroxy-3,,4-cyclohexadiene-1-carboxylate dehydrogenase) (Cis-1,,2-dihydroxycyclohexa-3,,5-diene-1-carboxylate dehydrogenase),	benD ACIAD1439	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	261	1.3.1.25
Q1QU27	ISFD2_CHRSD	reviewed	Sulfoacetaldehyde reductase 2 (EC 1.1.1.313) (Isethionate formation reductase 2)	isfD2 Csal_2684	Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 / NCIMB 13768)	252	1.1.1.313
P0CI32	HCAB_ECOLX	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB	Escherichia coli	270	1.3.1.87
P0A9P9	IDNO_ECOLI	reviewed	5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	idnO yjgU b4266 JW4223	Escherichia coli (strain K12)	254	1.1.1.69
Q93UV4	FLNB_TERSD	reviewed	,Fluoren-9-ol dehydrogenase (EC 1.1.1.256) (1,,1a-dihydroxy-1-hydro-9-fluorenone dehydrogenase) (DHF dehydrogenase),	flnB ORF4	Terrabacter sp. (strain DBF63)	357	1.1.1.256
A0R610	DPRE2_MYCS2	reviewed	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase (EC 1.1.1.333) (Decaprenyl-phospho-2'-keto-D-arabinose reductase) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE2) (Decaprenyl-phosphoribose 2'-epimerase subunit 2) (NAD-dependent decaprenylphosphoryl-D-2'-keto erythropentose reductase)	dprE2 MSMEG_6385 MSMEI_6217 LJ00_31560	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	254	1.1.1.333
A7B4V1	HSDHB_RUMGV	reviewed	7-beta-hydroxysteroid dehydrogenase (NADP(+)) (7-beta-HSDH) (EC 1.1.1.201)	RUMGNA_02585	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	263	1.1.1.201
D3U1D9	ISFD_KLEOX	reviewed	Sulfoacetaldehyde reductase (EC 1.1.1.313) (Isethionate formation reductase)	isfD	Klebsiella oxytoca	254	1.1.1.313
P96825	Y0148_MYCTU	reviewed	Putative short-chain type dehydrogenase/reductase Rv0148 (EC 1.1.1.-)	Rv0148	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	286	1.1.1.-
P16544	ACT3_STRCO	reviewed	Putative ketoacyl reductase (EC 1.3.1.-)	actIII SCO5086 SCBAC28G1.12c	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	261	1.3.1.-
Q46381	BPHB_COMTE	reviewed	,Cis-2,,3-dihydrobiphenyl-2,,3-diol dehydrogenase (EC 1.3.1.56) (2,,3-dihydro-2,,3-dihydroxybiphenyl dehydrogenase) (2,,3-dihydroxy-4-phenylhexa-4,,6-diene dehydrogenase) (B2,,3D) (Biphenyl-2,,3-dihydro-2,,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase),	bphB	Comamonas testosteroni (Pseudomonas testosteroni)	281	1.3.1.56
Q8XA72	HCAB_ECO57	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB Z3813 ECs3407	Escherichia coli O157:H7	270	1.3.1.87
P9WGP9	SADH_MYCTU	reviewed	Putative oxidoreductase SadH (EC 1.-.-.-)	sadH Rv3085	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	276	1.-.-.-
B7NRJ0	HCAB_ECO7I	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB ECIAI39_2742	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	270	1.3.1.87
Q04520	BUDC_RAOTE	reviewed	,Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,,3-butanediol dehydrogenase),	budC	Raoultella terrigena (Klebsiella terrigena)	241	1.1.1.304
B7N6C8	HCAB_ECOLU	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB ECUMN_2861	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	270	1.3.1.87
Q83QJ8	HCAB_SHIFL	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB SF2588 S2760	Shigella flexneri	270	1.3.1.87
P39071	DHBA_BACSU	reviewed	,2,,3-dihydro-2,,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) (Cold shock protein CSI14),	dhbA entA BSU32000	Bacillus subtilis (strain 168)	261	1.3.1.28
B7M7P4	HCAB_ECO8A	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB ECIAI1_2593	Escherichia coli O8 (strain IAI1)	270	1.3.1.87
A7ZPY4	HCAB_ECO24	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB EcE24377A_2826	Escherichia coli O139:H28 (strain E24377A / ETEC)	270	1.3.1.87
Q3YZ12	HCAB_SHISS	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB SSON_2623	Shigella sonnei (strain Ss046)	270	1.3.1.87
C4ZXB6	HCAB_ECOBW	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB BWG_2305	Escherichia coli (strain K12 / MC4100 / BW2952)	270	1.3.1.87
B1IVT6	HCAB_ECOLC	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB EcolC_1136	Escherichia coli (strain ATCC 8739 / DSM 1576 / Crooks)	270	1.3.1.87
B7LDD3	HCAB_ECO55	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB EC55989_2827	Escherichia coli (strain 55989 / EAEC)	270	1.3.1.87
B1XB16	HCAB_ECODH	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB ECDH10B_2708	Escherichia coli (strain K12 / DH10B)	270	1.3.1.87
B6I5B4	HCAB_ECOSE	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB ECSE_2828	Escherichia coli (strain SE11)	270	1.3.1.87
Q0T1X8	HCAB_SHIF8	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB SFV_2589	Shigella flexneri serotype 5b (strain 8401)	270	1.3.1.87
B1LNJ7	HCAB_ECOSM	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB EcSMS35_2694	Escherichia coli (strain SMS-3-5 / SECEC)	270	1.3.1.87
A8A347	HCAB_ECOHS	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB EcHS_A2693	Escherichia coli O9:H4 (strain HS)	270	1.3.1.87
B5Z114	HCAB_ECO5E	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB ECH74115_3773	Escherichia coli O157:H7 (strain EC4115 / EHEC)	270	1.3.1.87
Q31XU9	HCAB_SHIBS	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB SBO_2565	Shigella boydii serotype 4 (strain Sb227)	270	1.3.1.87
P23102	XYLL_PSEPU	reviewed	,1,,6-dihydroxycyclohexa-2,,4-diene-1-carboxylate dehydrogenase (EC 1.3.1.25) (2-hydro-1,,2-dihydroxybenzoate dehydrogenase) (DHB dehydrogenase) (Cis-1,,2-dihydroxy-3,,4-cyclohexadiene-1-carboxylate dehydrogenase) (Cis-1,,2-dihydroxycyclohexa-3,,5-diene-1-carboxylate dehydrogenase),	xylL	Pseudomonas putida (Arthrobacter siderocapsulatus)	269	1.3.1.25
P9WGS8	DPRE2_MYCTO	reviewed	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase (EC 1.1.1.333) (Decaprenyl-phospho-2'-keto-D-arabinose reductase) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE2) (Decaprenyl-phosphoribose 2'-epimerase subunit 2) (NAD-dependent decaprenylphosphoryl-D-2-keto-erythropentose reductase)	dprE2 MT3899	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	254	1.1.1.333
P66784	DPRE2_MYCBO	reviewed	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase (EC 1.1.1.333) (Decaprenyl-phospho-2'-keto-D-arabinose reductase) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE2) (Decaprenyl-phosphoribose 2'-epimerase subunit 2) (NAD-dependent decaprenylphosphoryl-D-2-keto-erythropentose reductase)	dprE2 BQ2027_MB3820	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	254	1.1.1.333
Q7N4V7	HCAB_PHOLL	reviewed	,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,,3-dihydroxy-2,,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,,6-dihydroxycyclohexa-1,,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,,5-cyclohexadiene-1,,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase),	hcaB plu2207	Photorhabdus luminescens subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)	280	1.3.1.87
Q8FHD2	YDFG_ECOL6	reviewed	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	ydfG c1965	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	248	1.1.1.381; 1.1.1.298
P9WGS3	EPHD_MYCTU	reviewed	Probable oxidoreductase EphD (EC 1.-.-.-)	ephD Rv2214c MTCY190.25c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	592	1.-.-.-
P69936	YDFG_SALTY	reviewed	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	ydfG STM1511	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	248	1.1.1.381; 1.1.1.298
P69935	YDFG_SALTI	reviewed	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	ydfG STY1550 t1432	Salmonella typhi	248	1.1.1.381; 1.1.1.298
Q8X505	YDFG_ECO57	reviewed	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	ydfG Z2158 ECs2148	Escherichia coli O157:H7	248	1.1.1.381; 1.1.1.298
Q83RE8	YDFG_SHIFL	reviewed	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	ydfG SF1556 S1681	Shigella flexneri	248	1.1.1.381; 1.1.1.298
P72220	BPHB_PSEPU	reviewed	,Cis-2,,3-dihydrobiphenyl-2,,3-diol dehydrogenase (EC 1.3.1.56) (2,,3-dihydro-2,,3-dihydroxybiphenyl dehydrogenase) (2,,3-dihydroxy-4-phenylhexa-4,,6-diene dehydrogenase) (Biphenyl-2,,3-dihydro-2,,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase),	bphB	Pseudomonas putida (Arthrobacter siderocapsulatus)	277	1.3.1.56
P08694	BPHB_PSEPS	reviewed	,Cis-2,,3-dihydrobiphenyl-2,,3-diol dehydrogenase (EC 1.3.1.56) (2,,3-dihydro-2,,3-dihydroxybiphenyl dehydrogenase) (2,,3-dihydroxy-4-phenylhexa-4,,6-diene dehydrogenase) (Biphenyl-2,,3-dihydro-2,,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase),	bphB	Pseudomonas pseudoalcaligenes	275	1.3.1.56
C8WMP0	3AHD_EGGLE	reviewed	3-alpha-hydroxycholanate dehydrogenase (NAD(+)) (EC 1.1.1.52) (NAD-dependent bile acid 3-alpha-dehydrogenase) (Nicotinamide-dependent 3-alpha-hydroxysteroid dehydrogenase) (Nicotinamide-dependent 3-alpha-HSDH)	Elen_0690	Eggerthella lenta (strain ATCC 25559 / DSM 2243 / JCM 9979 / NCTC 11813 / VPI 0255) (Eubacterium lentum)	259	1.1.1.52
Q59987	POR_SYNY3	reviewed	Light-dependent protochlorophyllide reductase (PCR) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase) (LPOR) (POR)	por pcr slr0506	Synechocystis sp. (strain PCC 6803 / Kazusa)	322	1.3.1.33
