Entry	Entry name	Status	Protein names	Gene names	Organism	Length	EC number
P12995	BIOA_ECOLI	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA b0774 JW0757	Escherichia coli (strain K12)	429	2.6.1.62
Q8IUZ5	AT2L2_HUMAN	reviewed	5-phosphohydroxy-L-lysine phospho-lyase (EC 4.2.3.134) (Alanine--glyoxylate aminotransferase 2-like 2)	PHYKPL AGXT2L2 PP9286	Homo sapiens (Human)	450	4.2.3.134
Q9BYV1	AGT2_HUMAN	reviewed	Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (EC 2.6.1.40) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-AIBAT)	AGXT2 AGT2	Homo sapiens (Human)	514	2.6.1.44; 2.6.1.40
P40732	ARGD_SALTY	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC dtu STM3468	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	405	2.6.1.11; 2.6.1.17
Q9M8M7	ARGD_ARATH	reviewed	Acetylornithine aminotransferase, chloroplastic/mitochondrial (ACOAT) (EC 2.6.1.11) (Acetylornithine transaminase) (AOTA) (Protein HOPW1-1-INTERACTING 1)	WIN1 At1g80600 T21F11.7	Arabidopsis thaliana (Mouse-ear cress)	457	2.6.1.11
P80404	GABT_HUMAN	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	Homo sapiens (Human)	500	2.6.1.19; 2.6.1.22
Q94CE5	GATP_ARATH	reviewed	Gamma-aminobutyrate transaminase POP2, mitochondrial (AtGABA-T) (EC 2.6.1.96) (Gamma-aminobutyric acid aminotransferase 1) (Protein HEXENAL RESPONSE 1) (Protein POLLEN-PISTIL INCOMPATIBILITY 2) (AtPOP2)	POP2 GABA-T GABAT1 HER1 At3g22200 MKA23.11	Arabidopsis thaliana (Mouse-ear cress)	504	2.6.1.96
P22256	GABT_ECOLI	reviewed	4-aminobutyrate aminotransferase GabT (EC 2.6.1.19) (5-aminovalerate transaminase) (EC 2.6.1.48) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)	gabT b2662 JW2637	Escherichia coli (strain K12)	426	2.6.1.19; 2.6.1.48
P04181	OAT_HUMAN	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	OAT	Homo sapiens (Human)	439	2.6.1.13
Q10G56	OAT_ORYSJ	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase)	OAT Os03g0643300 LOC_Os03g44150 OSJNBa0038E17.15	Oryza sativa subsp. japonica (Rice)	473	2.6.1.13
P53555	BIOK_BACSU	reviewed	L-Lysine--8-amino-7-oxononanoate transaminase (EC 2.6.1.105) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase) (L-Lysine--8-amino-7-oxononanoate aminotransferase)	bioK bioA BSU30230	Bacillus subtilis (strain 168)	448	2.6.1.105
H8WR05	BFAT_VARPD	reviewed	Beta-phenylalanine transaminase (EC 2.6.1.-) (Aromatic beta-amino acid aminotransferase) (Beta-phenylalanine aminotransferase) (VpAT)		Variovorax paradoxus	434	2.6.1.-
P18335	ARGD_ECOLI	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC dtu b3359 JW3322	Escherichia coli (strain K12)	406	2.6.1.11; 2.6.1.17
Q42522	GSA2_ARATH	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2, chloroplastic (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	GSA2 FNE1 HEML2 At3g48730 T8P19.240	Arabidopsis thaliana (Mouse-ear cress)	472	5.4.3.8
Q9BGI0	GABT_BOVIN	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	Bos taurus (Bovine)	500	2.6.1.19; 2.6.1.22
P04182	OAT_RAT	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	Oat	Rattus norvegicus (Rat)	439	2.6.1.13
P17649	GABAT_YEAST	reviewed	4-aminobutyrate aminotransferase (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase)	UGA1 YGR019W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	471	2.6.1.19
Q64565	AGT2_RAT	reviewed	Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (EC 2.6.1.40) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-AIBAT)	Agxt2 Agt2	Rattus norvegicus (Rat)	512	2.6.1.44; 2.6.1.40
O30508	ARUC_PSEAE	reviewed	Succinylornithine transaminase/acetylornithine aminotransferase (ACOAT) (SOAT) (Succinylornithine aminotransferase) (EC 2.6.1.11) (EC 2.6.1.81)	aruC argD astC PA0895	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	406	2.6.1.11; 2.6.1.81
P77581	ASTC_ECOLI	reviewed	Succinylornithine transaminase (SOAT) (EC 2.6.1.81) (Carbon starvation protein C) (Succinylornithine aminotransferase)	astC argM cstC ydjW b1748 JW1737	Escherichia coli (strain K12)	406	2.6.1.81
O13837	GABAT_SCHPO	reviewed	4-aminobutyrate aminotransferase (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase)	uga1 SPAC19D5.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	474	2.6.1.19
Q3UEG6	AGT2_MOUSE	reviewed	Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (EC 2.6.1.40) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-AIBAT)	Agxt2	Mus musculus (Mouse)	513	2.6.1.44; 2.6.1.40
A0A0J9X1Q5	PIGE_SERSF	reviewed	Aminotransferase PigE (EC 2.6.1.-)	pigE L085_23050	Serratia sp. (strain FS14)	853	2.6.1.-
P23893	GSA_ECOLI	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa popC b0154 JW0150	Escherichia coli (strain K12)	426	5.4.3.8
Q8A7T2	BIOAB_BACTN	reviewed	Biotin biosynthesis bifunctional protein BioAB [Includes: Biotin synthase BioB (EC 2.8.1.6); Adenosylmethionine-8-amino-7-oxononanoate aminotransferase BioA (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)]	bioB BT_1442	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	741	2.8.1.6; 2.6.1.62
Q8TBG4	AT2L1_HUMAN	reviewed	Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1)	ETNPPL AGXT2L1	Homo sapiens (Human)	499	4.2.3.2
P31593	GSA_TOBAC	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase, chloroplastic (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	GSA	Nicotiana tabacum (Common tobacco)	478	5.4.3.8
Q64VX4	BIOAB_BACFR	reviewed	Biotin biosynthesis bifunctional protein BioAB [Includes: Biotin synthase BioB (EC 2.8.1.6); Adenosylmethionine-8-amino-7-oxononanoate aminotransferase BioA (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)]	bioB BF1603	Bacteroides fragilis (strain YCH46)	748	2.8.1.6; 2.6.1.62
P24630	GSA_SYNP6	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa syc0881_c	Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans)	433	5.4.3.8
Q93R93	LYSJ_THET2	reviewed	[LysW]-aminoadipate semialdehyde transaminase (EC 2.6.1.118)	lysJ TT_C1393	Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039)	395	2.6.1.118
P42588	PAT_ECOLI	reviewed	Putrescine aminotransferase (PAT) (PATase) (EC 2.6.1.82) (Cadaverine transaminase) (Diamine transaminase) (EC 2.6.1.29) (Putrescine transaminase) (Putrescine--2-oxoglutaric acid transaminase) (Putrescine:2-OG aminotransferase)	patA ygjG b3073 JW5510	Escherichia coli (strain K12)	459	2.6.1.82; 2.6.1.29
B0VH76	KAT_CLOAI	reviewed	3-aminobutyryl-CoA aminotransferase (EC 2.6.1.111) (HemL-like protein)	kat CLOAM0809	Cloacimonas acidaminovorans (strain Evry)	414	2.6.1.111
Q5LEY1	BIOAB_BACFN	reviewed	Biotin biosynthesis bifunctional protein BioAB [Includes: Biotin synthase BioB (EC 2.8.1.6); Adenosylmethionine-8-amino-7-oxononanoate aminotransferase BioA (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)]	bioB BF1617	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343)	748	2.8.1.6; 2.6.1.62
Q9APM5	TPA_BILWA	reviewed	Taurine--pyruvate aminotransferase (EC 2.6.1.77)	tpa	Bilophila wadsworthia	456	2.6.1.77
E6SRG2	BIOAB_BACT6	reviewed	Biotin biosynthesis bifunctional protein BioAB [Includes: Biotin synthase BioB (EC 2.8.1.6); Adenosylmethionine-8-amino-7-oxononanoate aminotransferase BioA (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)]	bioB Bache_2094	Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108)	744	2.8.1.6; 2.6.1.62
E1WTS4	BIOAB_BACF6	reviewed	Biotin biosynthesis bifunctional protein BioAB [Includes: Biotin synthase BioB (EC 2.8.1.6); Adenosylmethionine-8-amino-7-oxononanoate aminotransferase BioA (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)]	bioB BF638R_1618	Bacteroides fragilis (strain 638R)	748	2.8.1.6; 2.6.1.62
Q7M181	ACLR_ACHOB	reviewed	2-aminohexano-6-lactam racemase (EC 5.1.1.15) (2-amino-hexano-6-lactam racemase) (Alpha-amino-epsilon-caprolactam racemase)		Achromobacter obae	436	5.1.1.15
Q53U08	NEON_STRFR	reviewed	Neamine transaminase NeoN (EC 2.6.1.93) (Glutamate--6'-dehydroparomamine aminotransferase) (Neomycin C transaminase) (EC 2.6.1.95) (Neomycin biosynthesis protein 18) (Neo-18) (Neomycin biosynthesis protein B) (Neomycin biosynthesis protein N)	neoN neo18 neoB	Streptomyces fradiae (Streptomyces roseoflavus)	416	2.6.1.93; 2.6.1.95
O52250	ECTB_HALED	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB HELO_2589	Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9)	421	2.6.1.76
P07991	OAT_YEAST	reviewed	Ornithine aminotransferase (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	CAR2 CARGB YLR438W L9753.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	424	2.6.1.13
Q88RB9	DAVT_PSEPK	reviewed	5-aminovalerate aminotransferase DavT (EC 2.6.1.48) (5-aminovalerate transaminase) (Delta-aminovalerate aminotransferase)	davT PP_0214	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440)	425	2.6.1.48
Q940M2	AGT21_ARATH	reviewed	Alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial (EC 2.6.1.44) (Beta-alanine-pyruvate aminotransferase 1)	AGT2 At4g39660 T19P19.50	Arabidopsis thaliana (Mouse-ear cress)	476	2.6.1.44
P22805	BIOA_LYSSH	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA	Lysinibacillus sphaericus (Bacillus sphaericus)	455	2.6.1.62
P50277	BIOA_YEAST	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (Diaminopelargonic acid synthase)	BIO3 YNR058W N3510	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	480	2.6.1.62
P9WPZ7	ARGD_MYCTU	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD Rv1655 MTCY06H11.20	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	400	2.6.1.11
Q9I6J2	SPUC_PSEAE	reviewed	Putrescine--pyruvate aminotransferase (PATase) (EC 2.6.1.113) (Putrescine--pyruvate transaminase)	spuC PA0299	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	456	2.6.1.113
P59324	ARGD_YERPE	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC YPO0170 y3954 YP_0172	Yersinia pestis	405	2.6.1.11; 2.6.1.17
P29758	OAT_MOUSE	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	Oat	Mus musculus (Mouse)	439	2.6.1.13
Q84P54	GATP1_SOLLC	reviewed	Gamma aminobutyrate transaminase 1, mitochondrial (Gamma-aminobutyrate transaminase isozyme 1) (LeGABA-TP1) (SlGABA-T1) (EC 2.6.1.96)	GABA-TP1 GABA-T1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	515	2.6.1.96
P38021	OAT_BACSU	reviewed	Ornithine aminotransferase (OAT) (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	rocD BSU40340	Bacillus subtilis (strain 168)	401	2.6.1.13
Q84P52	GATP3_SOLLC	reviewed	Gamma aminobutyrate transaminase 3, chloroplastic (Gamma-aminobutyrate transaminase isozyme 3) (LeGABA-TP3) (SlGABA-T3) (EC 2.6.1.96)	GABA-TP3 GABA-T3	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	520	2.6.1.96
M1GRN3	ILE2E_LACBU	reviewed	Isoleucine 2-epimerase (EC 5.1.1.21) (BCAA racemase)		Lactobacillus buchneri	450	5.1.1.21
Q21217	GABT_CAEEL	reviewed	Probable 4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (L-AIBAT)	gta-1 K04D7.3	Caenorhabditis elegans	483	2.6.1.19; 2.6.1.22
Q5SHH5	LYSJ_THET8	reviewed	[LysW]-aminoadipate semialdehyde transaminase (EC 2.6.1.118)	lysJ TTHA1755	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	395	2.6.1.118
P16932	DGDA_BURCE	reviewed	2,2-dialkylglycine decarboxylase (DGD) (EC 4.1.1.64)	dgdA	Burkholderia cepacia (Pseudomonas cepacia)	433	4.1.1.64
Q7XN11	GATP1_ORYSJ	reviewed	Gamma-aminobutyrate transaminase 1, mitochondrial (EC 2.6.1.96)	OSL2 Os04g0614600 LOC_Os04g52450 OsJ_16145 OSJNBa0008M17.4	Oryza sativa subsp. japonica (Rice)	516	2.6.1.96
Q8X4S6	ARGD_ECO57	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC Z4720 ECs4210	Escherichia coli O157:H7	406	2.6.1.11; 2.6.1.17
Q9P7L5	OAT_SCHPO	reviewed	Ornithine aminotransferase car2 (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	car2 SPBC21C3.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	438	2.6.1.13
P59317	ARGD_ECOL6	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC c4134	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	406	2.6.1.11; 2.6.1.17
Q8Z1Z3	ARGD_SALTI	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC STY4328 t4037	Salmonella typhi	405	2.6.1.11; 2.6.1.17
Q84P53	GATP2_SOLLC	reviewed	Gamma aminobutyrate transaminase 2 (Gamma-aminobutyrate transaminase isozyme 2) (LeGABA-TP2) (SlGABA-T2) (EC 2.6.1.96)	GABA-TP2 GABA-T2	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	458	2.6.1.96
P14010	GABAT_EMENI	reviewed	4-aminobutyrate aminotransferase (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase)	gatA AN2248	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	498	2.6.1.19
O74548	ARGD_SCHPO	reviewed	Probable acetylornithine aminotransferase, mitochondrial (ACOAT) (EC 2.6.1.11)	arg1 SPCC777.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	441	2.6.1.11
P59321	ARGD_SHIFL	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC SF3378 S4385	Shigella flexneri	406	2.6.1.11; 2.6.1.17
Q980U5	GSA_SACS2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL SSO0182	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	418	5.4.3.8
Q5W267	PIGE_SERS3	reviewed	Aminotransferase PigE (EC 2.6.1.-)	pigE	Serratia sp. (strain ATCC 39006)	853	2.6.1.-
P28269	OAPT_PSEPU	reviewed	Omega-amino acid--pyruvate aminotransferase (Omega-APT) (EC 2.6.1.18) (Beta-alanine--pyruvate aminotransferase)		Pseudomonas putida (Arthrobacter siderocapsulatus)	449	2.6.1.18
O66442	ARGD_AQUAE	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD aq_023	Aquifex aeolicus (strain VF5)	376	2.6.1.11
P94427	GABT_BACSU	reviewed	Probable 4-aminobutyrate aminotransferase (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)	gabT ycnG BSU03900	Bacillus subtilis (strain 168)	436	2.6.1.19; 2.6.1.22
P46395	BIOA_CORGL	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA Cgl2604 cg2885	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025)	423	2.6.1.62
P57600	ARGD_BUCAI	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC BU534	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	408	2.6.1.11; 2.6.1.17
Q7N9E5	ARGD_PHOLL	reviewed	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC plu0394	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)	403	2.6.1.11; 2.6.1.17
Q94AL9	AGT22_ARATH	reviewed	Alanine--glyoxylate aminotransferase 2 homolog 2, mitochondrial (EC 2.6.1.44) (Beta-alanine-pyruvate aminotransferase 2)	AGT3 At2g38400 T19C21.11	Arabidopsis thaliana (Mouse-ear cress)	477	2.6.1.44
